"","SOC_CODE","EMPLOYER_STATE","EMPLOYER_NAME","frequency","State"
"1",11,"AK","ADVANCED PHYSICAL THERAPY, INC",3,"Alaska"
"2",11,"AK","NORTHERN STAR (POGO) LLC",2,"Alaska"
"3",11,"AK","ASRC ENERGY SERVICES, LLC",1,"Alaska"
"4",11,"AK","GCI COMMUNICATION CORP",1,"Alaska"
"5",11,"AK","MANIILAQ ASSOCIATION INC",1,"Alaska"
"6",11,"AL","SUNBELT FOREST VENTURES LLC",4,"Alabama"
"7",11,"AL","DEVANSH LAB WERKS INC",3,"Alabama"
"8",11,"AL","GOLDEN KEY LLC",3,"Alabama"
"9",11,"AL","MY SUPPLY CHAIN GROUP, LLC",3,"Alabama"
"10",11,"AL","POLYPLEX USA, LLC",3,"Alabama"
"11",11,"AR","WAL-MART ASSOCIATES, INC",116,"Arkansas"
"12",11,"AR","FEDERAL SOFT SYSTEMS INC",3,"Arkansas"
"13",11,"AR","ACXIOM LLC",2,"Arkansas"
"14",11,"AR","BAPTIST HEALTH PHYSICIAN PARTNERS, LLC",2,"Arkansas"
"15",11,"AR","MATRIX RACQUET CLUB LLC",2,"Arkansas"
"16",11,"AZ","SEMICONDUCTOR COMPONENTS INDUSTRIES, LLC",7,"Arizona"
"17",11,"AZ","WELLS FARGO BANK, N.A",7,"Arizona"
"18",11,"AZ","ARIZONA STATE UNIVERSITY",6,"Arizona"
"19",11,"AZ","ASM AMERICA INC",6,"Arizona"
"20",11,"AZ","KATERRA, INC",6,"Arizona"
"21",11,"CA","FACEBOOK, INC",331,"California"
"22",11,"CA","GOOGLE LLC",226,"California"
"23",11,"CA","SALESFORCE.COM, INC",218,"California"
"24",11,"CA","FACEBOOK INC",151,"California"
"25",11,"CA","APPLE INC",146,"California"
"26",11,"CO","CHARLES SCHWAB AND COMPANY, INC",15,"Colorado"
"27",11,"CO","HP INC",15,"Colorado"
"28",11,"CO","DISH NETWORK LLC",14,"Colorado"
"29",11,"CO","ARROW ELECTRONICS INC",7,"Colorado"
"30",11,"CO","ARROW ELECTRONICS, INC",7,"Colorado"
"31",11,"CT","CRANE CO",13,"Connecticut"
"32",11,"CT","GENERAL ELECTRIC COMPANY",11,"Connecticut"
"33",11,"CT","GE PRECISION HEALTHCARE LLC",10,"Connecticut"
